name;rating;convenience;security;functionality;comment

Курятник 86;4.9;1;1;1;Это здание очень функционально.

Мушиный лабиринт 4;2.5;1;2;5;Мне нравится дизайн этого здания.

Крольчатник 45;0.8;1;3;5;Это здание не имеет особых архитектурных особенностей.

Склад 17;1.0;5;2;3;Это здание прекрасно вписывается в окружающий ландшафт.

Логово 48;1.2;4;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Курятник 60;4.0;1;5;3;Это здание построено из стандартных строительных материалов.

Архив 4;2.5;3;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Гнездо 3;2.3;4;3;3;Это здание не имеет особых архитектурных особенностей.

Путепровод 78;3.4;4;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Овчарня 15;1.2;5;3;2;Это здание не имеет особых архитектурных особенностей.

Муравейник 85;4.7;3;1;5;Это здание представляет собой типичный образец современной архитектуры.

Эскалатор 10;3.1;2;3;5;Это здание является примером функционального дизайна.

Ресторан 51;5.0;1;2;4;Это здание построено из стандартных строительных материалов.

Отель 79;3.2;2;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Улей 31;2.0;1;3;2;Это здание представляет собой типичный образец современной архитектуры.

Чердак 3;1.3;2;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Котельная 75;0.6;1;4;5;Это здание очень функционально.

Нефтепровод 61;4.5;1;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Бункер 4;2.5;2;3;3;Это здание является примером функционального дизайна.

Лежбище 78;5.0;2;4;2;Это здание не имеет особых архитектурных особенностей.

Курятник 86;1.9;5;3;1;Это здание представляет собой типичный образец современной архитектуры.

Канализация 66;3.7;5;5;5;Это здание является примером функционального дизайна.

Улей 31;2.6;5;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Кинотеатр 28;4.8;2;5;1;Мне нравится дизайн этого здания.

Лосятник 72;0.2;5;5;3;Это здание прекрасно вписывается в окружающий ландшафт.

Курятник 60;1.3;3;4;5;Это здание является примером функционального дизайна.

Ресторан 51;1.0;3;2;3;Это здание не имеет особых архитектурных особенностей.

Супермаркет 34;3.8;2;5;4;Это здание не имеет особых архитектурных особенностей.

Ангар 46;5.0;4;1;5;Это здание не имеет особых архитектурных особенностей.

Архив 4;3.4;4;5;1;Это здание является примером функционального дизайна.

Канализация 66;2.4;1;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Берлога 61;3.1;2;3;2;Мне нравится дизайн этого здания.

Курятник 86;4.3;4;4;5;Это здание представляет собой типичный образец современной архитектуры.

Ферма 62;3.1;4;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Хаус 68;0.9;4;5;3;Это здание не имеет особых архитектурных особенностей.

Бункер 31;4.8;5;5;5;Это здание построено из стандартных строительных материалов.

Кинотеатр 28;1.4;4;2;4;Это великолепное здание!

Овчарня 15;1.7;1;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Супермаркет 34;1.5;5;3;2;Это здание представляет собой типичный образец современной архитектуры.

Мушиный лабиринт 4;0.6;3;1;1;Это здание не имеет особых архитектурных особенностей.

Подвал 53;3.1;5;4;2;Это здание представляет собой типичный образец современной архитектуры.

Отель 48;1.3;2;2;1;Это здание не имеет особых архитектурных особенностей.

Мушиный лабиринт 4;2.1;2;3;5;Это здание построено из стандартных строительных материалов.

Кинотеатр 28;1.0;4;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Отель 79;0.7;5;5;2;Это здание не имеет особых архитектурных особенностей.

Страусятник 2;2.7;4;4;5;Это здание является примером функционального дизайна.

Ангар 46;4.5;1;4;4;Это здание представляет собой типичный образец современной архитектуры.

Конюшня 37;2.4;5;2;1;У этого здания отличная архитектура.

Гараж 68;1.7;1;4;3;Это здание является примером функционального дизайна.

Замок 70;0.5;3;2;5;У этого здания отличная архитектура.

Путепровод 78;4.0;2;5;5;Это здание имеет стандартную конструкцию.

Курятник 86;4.7;3;2;2;Это здание очень функционально.

Коровник 49;0.9;2;2;2;Это здание является примером функционального дизайна.

Аптека 19;3.3;1;3;4;Это здание очень функционально.

Архив 4;3.5;1;1;5;Это здание представляет собой типичный образец современной архитектуры.

Хаус 68;3.3;1;1;5;Это здание прекрасно вписывается в окружающий ландшафт.

Аптека 69;1.3;5;4;1;Это здание имеет стандартную конструкцию.

Банк 23;4.6;5;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Муравейник 85;1.9;1;5;5;Это здание является примером функционального дизайна.

Путепровод 78;1.9;3;3;4;Мне нравится дизайн этого здания.

Склад 17;0.4;5;1;2;Это здание очень функционально.

Бункер 31;3.5;5;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Фазенда 14;0.4;3;5;2;Это здание является примером функционального дизайна.

Гнездо 30;5.0;3;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Муравейник 85;4.1;4;2;1;Это великолепное здание!

Хаус 68;4.2;5;4;2;Это здание не имеет особых архитектурных особенностей.

Склад 17;0.5;3;5;1;Это здание очень функционально.

Библиотека 45;2.0;5;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Плантация 19;3.9;3;3;3;Это здание имеет стандартную конструкцию.

Логово 48;1.2;3;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Логово 48;0.1;4;4;2;Это здание имеет стандартную конструкцию.

Хаус 68;4.1;1;4;1;Это великолепное здание!

Ферма 62;0.4;1;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Котельная 75;4.1;2;3;3;Мне нравится дизайн этого здания.

Цирк 83;3.8;4;1;5;Это здание не имеет особых архитектурных особенностей.

Гараж 68;1.4;2;5;5;Это здание не имеет особых архитектурных особенностей.

Развязка 10;4.5;1;3;1;Это здание является примером функционального дизайна.

Улей 31;1.5;3;1;2;Это здание не имеет особых архитектурных особенностей.

Страусятник 2;5.0;4;5;4;Это великолепное здание!

Замок 70;4.8;3;3;3;Это здание прекрасно вписывается в окружающий ландшафт.

Гнездо 3;4.4;2;3;3;Это здание не имеет особых архитектурных особенностей.

Гнездо 3;3.4;4;3;5;Мне нравится дизайн этого здания.

Гнездо 3;2.7;5;4;4;Это здание построено из стандартных строительных материалов.

Ферма 34;1.1;4;1;1;Это здание представляет собой типичный образец современной архитектуры.

Кинотеатр 28;0.5;5;5;1;Это здание представляет собой типичный образец современной архитектуры.

Пасека 81;1.2;1;3;1;Это здание прекрасно вписывается в окружающий ландшафт.

Фазенда 14;3.6;4;2;2;Это здание имеет стандартную конструкцию.

Аптека 19;4.1;5;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Чердак 3;4.1;2;2;1;Это здание не имеет особых архитектурных особенностей.

Фазенда 14;2.5;2;1;1;Это великолепное здание!

Причал 13;1.7;5;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Аптека 6;0.4;3;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Гнездо 3;0.6;3;4;3;Это здание является примером функционального дизайна.

Ресторан 51;1.3;3;1;2;Это здание является примером функционального дизайна.

Бункер 31;1.0;2;4;2;Это здание имеет стандартную конструкцию.

Убежище 10;2.8;1;4;1;Это здание построено из стандартных строительных материалов.

Бункер 31;4.1;5;1;1;У этого здания отличная архитектура.

Архив 4;2.6;4;1;2;Это здание построено из стандартных строительных материалов.

Док 38;3.2;2;5;2;Это здание не имеет особых архитектурных особенностей.

Канализация 66;1.8;3;1;2;Мне нравится дизайн этого здания.

Кинотеатр 28;0.6;5;3;4;Это здание является примером функционального дизайна.

Ангар 46;5.0;4;5;5;Мне нравится дизайн этого здания.

Страусятник 2;1.4;3;2;5;Это здание имеет стандартную конструкцию.

Аптека 6;1.6;2;1;2;Это здание прекрасно вписывается в окружающий ландшафт.

Плантация 19;3.6;5;3;4;Это здание построено из стандартных строительных материалов.

Крольчатник 45;2.7;1;2;3;Это здание является примером функционального дизайна.

Убежище 10;0.7;4;1;1;Это здание представляет собой типичный образец современной архитектуры.

Фазенда 14;0.4;2;2;1;Это здание представляет собой типичный образец современной архитектуры.

Аптека 19;3.5;1;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Замок 70;0.3;2;4;2;Это здание не имеет особых архитектурных особенностей.

Курятник 86;1.1;1;5;2;Это великолепное здание!

Силок 55;4.2;3;1;1;Мне нравится дизайн этого здания.

Курятник 60;0.8;3;5;2;У этого здания отличная архитектура.

Замок 60;2.6;1;4;4;Это здание представляет собой типичный образец современной архитектуры.

Курятник 86;3.7;1;1;4;Мне нравится дизайн этого здания.

Аптека 6;4.1;2;1;2;Это здание не имеет особых архитектурных особенностей.

Отель 48;0.6;5;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Склад 79;2.1;3;5;4;Это здание является примером функционального дизайна.

Пасека 53;0.7;4;4;4;Это здание построено из стандартных строительных материалов.

Берлога 61;3.5;1;2;4;Это здание имеет стандартную конструкцию.

Гнездо 3;4.4;1;1;4;Это здание построено из стандартных строительных материалов.

Коровник 49;2.7;3;2;2;Это здание очень функционально.

Ферма 62;3.0;3;1;1;Это здание является примером функционального дизайна.

Муравейник 85;4.9;3;1;2;Это здание не имеет особых архитектурных особенностей.

Муравейник 66;0.7;5;2;5;Это здание не имеет особых архитектурных особенностей.

Канализация 66;2.2;5;1;1;Это здание не имеет особых архитектурных особенностей.

Муравейник 85;3.5;3;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Банк 23;1.6;4;4;2;Это великолепное здание!

Страусятник 2;3.3;2;3;1;Это здание имеет стандартную конструкцию.

Курятник 86;0.9;5;5;5;У этого здания отличная архитектура.

Фабрика 15;2.7;2;2;2;Это здание является примером функционального дизайна.

Причал 13;3.6;2;4;2;Это здание не имеет особых архитектурных особенностей.

Отель 48;3.0;4;3;4;Это здание является примером функционального дизайна.

Ресторан 51;0.5;5;1;3;Это здание представляет собой типичный образец современной архитектуры.

Архив 4;4.0;3;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Гнездо 30;3.4;1;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Развязка 10;4.1;3;3;4;Это здание имеет стандартную конструкцию.

Подвал 53;3.9;5;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Кинотеатр 28;5.0;2;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Лежбище 78;4.0;5;5;3;Это здание является примером функционального дизайна.

Гнездо 3;2.0;3;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Пандус 75;4.5;4;2;4;У этого здания отличная архитектура.

Курятник 86;2.5;3;5;3;Это здание очень функционально.

Фазенда 14;0.2;1;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Подвал 53;1.8;5;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Кинотеатр 28;0.1;2;5;2;Это здание имеет стандартную конструкцию.

Мушиный лабиринт 4;2.8;5;3;2;Это здание представляет собой типичный образец современной архитектуры.

Кинотеатр 28;0.5;2;5;5;Это здание не имеет особых архитектурных особенностей.

Лосятник 72;4.8;3;1;1;У этого здания отличная архитектура.

Ангар 46;2.6;2;1;5;Это здание прекрасно вписывается в окружающий ландшафт.

Силок 55;3.4;3;3;3;Это здание очень функционально.

Цирк 83;5.0;2;5;2;Это великолепное здание!

Ангар 46;3.5;1;5;1;Это здание очень функционально.

Супермаркет 34;4.1;4;1;5;Это здание не имеет особых архитектурных особенностей.

Муравейник 66;3.7;2;4;3;Это великолепное здание!

Страусятник 2;3.4;4;4;2;Мне нравится дизайн этого здания.

Супермаркет 34;3.7;2;5;4;Это здание представляет собой типичный образец современной архитектуры.

Развязка 10;1.1;5;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Лосятник 72;1.6;2;4;5;Это здание является примером функционального дизайна.

Теплотрасса 42;4.8;5;5;3;Это здание не имеет особых архитектурных особенностей.

Мушиный лабиринт 4;3.0;2;5;3;Это здание не имеет особых архитектурных особенностей.

Док 38;1.1;2;3;1;Это здание имеет стандартную конструкцию.

Аптека 6;3.6;1;4;5;Это великолепное здание!

Ресторан 51;4.6;2;2;2;Это здание представляет собой типичный образец современной архитектуры.

Конюшня 37;1.7;3;3;1;У этого здания отличная архитектура.

Ферма 34;3.6;5;3;4;Это здание является примером функционального дизайна.

Пасека 81;3.2;5;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Гнездо 30;1.4;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.

Муравейник 85;1.8;3;2;3;Это здание не имеет особых архитектурных особенностей.

Библиотека 45;3.9;4;4;5;Это великолепное здание!

Крольчатник 45;2.7;1;3;2;Это здание прекрасно вписывается в окружающий ландшафт.

Улей 31;3.3;5;5;3;Это здание является примером функционального дизайна.

Пасека 53;3.7;1;4;4;Мне нравится дизайн этого здания.

Крольчатник 45;2.8;3;5;5;Это здание является примером функционального дизайна.

Конюшня 37;2.7;3;1;5;Мне нравится дизайн этого здания.

Кинотеатр 28;4.7;3;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Канализация 66;1.5;3;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Фабрика 15;4.0;2;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Ангар 46;3.1;3;1;2;Это здание имеет стандартную конструкцию.

Замок 70;4.9;2;3;4;Это великолепное здание!

Эскалатор 10;4.3;1;1;1;Это здание не имеет особых архитектурных особенностей.

Муравейник 85;3.0;5;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Хаус 68;4.2;1;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Страусятник 2;2.5;1;2;2;Это здание не имеет особых архитектурных особенностей.

Замок 70;4.4;5;5;3;Это здание очень функционально.

Бункер 31;2.9;2;4;3;Мне нравится дизайн этого здания.

Пасека 53;1.7;5;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Ангар 46;4.8;3;3;2;Это здание прекрасно вписывается в окружающий ландшафт.

Чердак 3;1.9;2;4;1;Это великолепное здание!

Силок 55;3.7;4;2;4;Это здание представляет собой типичный образец современной архитектуры.

Путепровод 78;4.3;2;1;2;Это здание является примером функционального дизайна.

Лосятник 72;4.1;2;4;5;Это здание имеет стандартную конструкцию.

Мушиный лабиринт 4;3.5;3;4;2;Это здание прекрасно вписывается в окружающий ландшафт.

Конюшня 37;3.4;1;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Бомбоубежище 39;3.0;4;4;5;Это великолепное здание!

Канализация 66;1.2;4;5;2;Это великолепное здание!

Путепровод 78;0.4;1;5;4;Это великолепное здание!

Фабрика 15;3.2;4;1;3;Это великолепное здание!

Страусятник 2;0.3;3;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Курятник 60;4.6;2;5;5;Это здание представляет собой типичный образец современной архитектуры.

Аптека 19;0.7;3;5;5;Это здание имеет стандартную конструкцию.

Конюшня 37;4.4;4;4;4;Это здание является примером функционального дизайна.

Причал 13;2.3;5;2;2;Это здание построено из стандартных строительных материалов.

Коровник 49;1.9;3;1;3;Это здание не имеет особых архитектурных особенностей.

Фабрика 15;2.1;1;2;1;Это здание представляет собой типичный образец современной архитектуры.

Лосятник 72;4.0;1;1;5;Это здание не имеет особых архитектурных особенностей.

Ангар 46;1.8;3;4;5;Это здание является примером функционального дизайна.

Фазенда 14;0.3;2;3;2;Это здание представляет собой типичный образец современной архитектуры.

Аптека 6;3.0;3;1;1;Это здание имеет стандартную конструкцию.

Цирк 83;2.7;3;4;2;Это здание построено из стандартных строительных материалов.

Кинотеатр 28;2.5;2;4;4;Это здание имеет стандартную конструкцию.

Замок 60;1.3;2;1;5;Это здание построено из стандартных строительных материалов.

Цирк 83;4.9;1;3;2;Это здание построено из стандартных строительных материалов.

Котельная 75;3.7;2;3;3;Это здание не имеет особых архитектурных особенностей.

Плантация 19;4.2;5;4;3;Это здание представляет собой типичный образец современной архитектуры.

Аптека 19;3.8;4;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Конюшня 37;4.2;2;5;5;Это здание построено из стандартных строительных материалов.

Пандус 75;3.7;2;3;4;Это здание представляет собой типичный образец современной архитектуры.

Пасека 53;3.3;4;4;5;Это здание не имеет особых архитектурных особенностей.

Аптека 19;2.7;3;2;3;У этого здания отличная архитектура.

Аптека 19;4.1;2;5;1;Это здание не имеет особых архитектурных особенностей.

Мушиный лабиринт 4;1.2;5;3;5;Это здание является примером функционального дизайна.

Муравейник 85;4.6;1;3;3;Это здание построено из стандартных строительных материалов.

Фазенда 14;3.0;2;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Петля 65;2.7;3;5;3;Это здание очень функционально.

Док 38;0.5;5;3;4;Это здание является примером функционального дизайна.

Кинотеатр 28;4.0;4;4;2;У этого здания отличная архитектура.

Замок 60;0.1;4;1;4;Это здание является примером функционального дизайна.

Замок 70;4.5;3;4;5;Это здание имеет стандартную конструкцию.

Аптека 19;0.7;3;5;1;Это здание прекрасно вписывается в окружающий ландшафт.

Отель 79;2.7;4;2;4;Это здание не имеет особых архитектурных особенностей.

Аптека 19;4.4;1;2;1;Это здание построено из стандартных строительных материалов.

Банк 23;3.2;3;2;5;Это здание является примером функционального дизайна.

Аптека 19;3.0;2;2;1;Это здание построено из стандартных строительных материалов.

Развязка 10;2.4;1;5;1;Это здание построено из стандартных строительных материалов.

Лежбище 78;4.7;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Замок 70;0.3;1;4;3;Это здание построено из стандартных строительных материалов.

Эскалатор 10;0.5;5;2;5;Это здание не имеет особых архитектурных особенностей.

Библиотека 45;0.8;5;4;3;Мне нравится дизайн этого здания.

Архив 4;3.0;1;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Склад 79;4.2;5;5;3;Это здание не имеет особых архитектурных особенностей.

Логово 48;4.1;4;5;5;Это здание прекрасно вписывается в окружающий ландшафт.

Курятник 86;4.7;3;3;2;Это здание имеет стандартную конструкцию.

Замок 70;1.9;5;2;1;Это здание не имеет особых архитектурных особенностей.

Отель 79;4.4;2;5;4;Это здание имеет стандартную конструкцию.

Петля 65;3.2;2;2;4;Это здание очень функционально.

Отель 79;4.7;4;3;1;Это здание построено из стандартных строительных материалов.

Цирк 83;0.4;2;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Развязка 10;1.5;1;3;1;Это здание представляет собой типичный образец современной архитектуры.

Аптека 19;2.9;3;2;2;Это здание очень функционально.

Пасека 81;4.9;1;2;3;Это здание построено из стандартных строительных материалов.

Крольчатник 45;0.9;2;1;4;Это здание очень функционально.

Маяк 93;1.4;3;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Фазенда 14;3.3;3;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Путепровод 78;3.9;5;4;1;Мне нравится дизайн этого здания.

Док 38;0.5;2;5;1;Это здание очень функционально.

Склад 79;4.8;1;5;4;Это здание имеет стандартную конструкцию.

Развязка 10;4.5;2;1;4;Это здание имеет стандартную конструкцию.

Замок 60;2.4;4;4;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Берлога 61;3.4;4;5;5;Это великолепное здание!

Аптека 19;4.4;3;3;3;Это здание представляет собой типичный образец современной архитектуры.

Муравейник 66;3.9;2;1;4;Это здание имеет стандартную конструкцию.

Овчарня 15;4.2;4;2;5;Это здание очень функционально.

Ангар 46;0.7;1;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Логово 48;5.0;1;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Путепровод 78;1.5;4;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Логово 48;1.0;1;5;2;Это здание не имеет особых архитектурных особенностей.

Бункер 4;1.7;2;3;3;Это здание очень функционально.

Гараж 68;4.2;4;3;4;Это великолепное здание!

Пандус 75;2.4;1;4;5;Это здание построено из стандартных строительных материалов.

Отель 79;4.5;3;5;3;У этого здания отличная архитектура.

Улей 31;3.3;1;2;4;Это здание имеет стандартную конструкцию.

Плантация 19;3.2;4;3;5;Это великолепное здание!

Подвал 53;4.2;1;1;2;Это великолепное здание!

Нефтепровод 61;3.5;2;5;5;Это великолепное здание!

Мушиный лабиринт 4;3.7;5;2;2;Мне нравится дизайн этого здания.

Ферма 62;0.1;4;5;4;Мне нравится дизайн этого здания.

Аптека 69;1.8;2;3;1;Это здание построено из стандартных строительных материалов.

Чердак 3;2.1;1;2;4;Это здание является примером функционального дизайна.

Чердак 3;3.9;4;1;5;Это здание имеет стандартную конструкцию.

Страусятник 2;1.0;1;5;5;Это великолепное здание!

Страусятник 2;2.6;5;4;1;У этого здания отличная архитектура.

Коровник 49;2.8;2;3;5;Это здание представляет собой типичный образец современной архитектуры.

Берлога 61;3.4;5;5;1;Это здание построено из стандартных строительных материалов.

Лежбище 78;0.8;4;5;4;Это великолепное здание!

Плантация 19;0.1;5;4;3;Это здание построено из стандартных строительных материалов.

Гнездо 30;4.1;1;1;4;Это здание имеет стандартную конструкцию.

Овчарня 15;1.7;1;4;3;Это здание не имеет особых архитектурных особенностей.

Бункер 31;3.8;5;1;5;Это здание очень функционально.

Банк 23;5.0;4;3;1;Это здание очень функционально.

Аптека 19;0.4;5;4;1;Это здание имеет стандартную конструкцию.

Цирк 83;2.7;1;5;4;Это здание не имеет особых архитектурных особенностей.

Крольчатник 45;2.5;2;5;4;Это здание прекрасно вписывается в окружающий ландшафт.

Лосятник 72;5.0;2;4;1;Это здание прекрасно вписывается в окружающий ландшафт.

Библиотека 45;0.9;3;2;1;Это здание построено из стандартных строительных материалов.

Банк 23;1.7;5;5;2;Это здание представляет собой типичный образец современной архитектуры.

Супермаркет 34;4.4;1;5;1;Это здание не имеет особых архитектурных особенностей.

Кинотеатр 28;1.3;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Гнездо 3;1.7;1;2;2;Это здание имеет стандартную конструкцию.

Ферма 62;2.0;4;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Подвал 53;2.8;4;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Овчарня 15;1.3;1;4;4;Это здание является примером функционального дизайна.

Гараж 68;1.8;5;1;3;У этого здания отличная архитектура.

Петля 65;2.9;5;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.

Мушиный лабиринт 4;0.5;5;3;1;У этого здания отличная архитектура.

Гнездо 3;0.5;3;1;5;Это здание имеет стандартную конструкцию.

Цирк 83;4.6;2;4;1;Это здание не имеет особых архитектурных особенностей.

Аптека 19;0.9;5;5;1;Это здание представляет собой типичный образец современной архитектуры.

Лежбище 78;2.4;4;5;2;Это здание построено из стандартных строительных материалов.

Курятник 60;0.8;2;4;4;Это великолепное здание!

Крольчатник 45;1.5;5;4;4;Это здание имеет стандартную конструкцию.

Архив 4;3.4;3;4;5;Это здание прекрасно вписывается в окружающий ландшафт.

Кинотеатр 28;2.0;1;2;4;Это здание является примером функционального дизайна.

Хаус 68;0.1;5;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Архив 4;1.7;3;4;4;Это здание не имеет особых архитектурных особенностей.

Силок 55;3.4;5;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.

Путепровод 78;3.0;2;2;5;Это здание очень функционально.

Пасека 53;4.8;5;1;5;У этого здания отличная архитектура.

Муравейник 85;4.8;2;1;5;Это здание является примером функционального дизайна.

Чердак 3;1.5;5;1;4;Это здание является примером функционального дизайна.

Маяк 93;4.3;4;2;3;Это здание является примером функционального дизайна.

Чердак 3;1.9;3;3;5;Это здание является примером функционального дизайна.

Библиотека 45;0.1;1;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Подвал 53;3.4;5;1;2;Это здание построено из стандартных строительных материалов.

Мушиный лабиринт 4;0.6;5;5;5;Это здание не имеет особых архитектурных особенностей.

Коттедж 48;1.5;2;1;3;Это здание построено из стандартных строительных материалов.

Ферма 62;2.7;5;2;4;Это здание построено из стандартных строительных материалов.

Супермаркет 34;3.4;3;5;5;Это здание построено из стандартных строительных материалов.

Аптека 6;0.5;4;3;3;Это здание прекрасно вписывается в окружающий ландшафт.

Логово 48;4.5;3;5;4;Это здание не имеет особых архитектурных особенностей.

Гнездо 3;3.1;5;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.

Курятник 60;2.2;2;2;3;Это здание имеет стандартную конструкцию.
